company,language,Repositories_count
University of Pisa,CMake,2
University of Michigan,Python,2
University of Michigan,JavaScript,2
University of Michigan,Haskell,2
University of Michigan,HTML,2
YP Holdings,Haskell,2
YP Holdings,OCaml,2
YP Holdings,Python,2
http://gle.solar,Eagle,2
,TypeScript,2
,Shell,2
,Python,2
,Makefile,2
,HTML,2
oneforty,Ruby,2
meliuz,Shell,2
meliuz,C,2
https://angel.co/trucktrack,Ruby,2
https://angel.co/trucktrack,Python,2
https://angel.co/trucktrack,CoffeeScript,2
http://gle.solar,Shell,2
http://gle.solar,JavaScript,2
http://gle.solar,C,2
YP Holdings,Shell,2
http://gle.solar,Arduino,2
gutocarvalho.net,JavaScript,2
glomper.com,C++,2
glfernando,Java,2
freelance full-stack dev,Common Lisp,2
"edutechnologic, llc",Java,2
cron IT,JavaScript,2
blaste,Java,2
blaste,C++,2
backslash AG,ColdFusion,2
ancestry.com,Go,2
ZoomRx,JavaScript,2
Zenefits,JavaScript,2
University of Michigan,C++,2
"University of California, Irvine",VimL,2
"University of California, Irvine",CSS,2
Sheepdog Sciences,Java,2
Skyscanner,Shell,2
Skyscanner,CoffeeScript,2
Skulski Research Group,VimL,2
Skulski Research Group,Perl,2
Skulski Research Group,Makefile,2
Skulski Research Group,Clojure,2
Skerou,C,2
Skerou,Arduino,2
Simmer,HTML,2
Simmer,CSS,2
Shutterstock,JavaScript,2
Shipito LLC,CoffeeScript,2
Sheepdog Sciences,Python,2
Secret,HTML,2
SmartSoftAsia,JavaScript,2
"SRAN Technology Co., Ltd",JavaScript,2
"SRAN Technology Co., Ltd",HTML,2
S. Quinton Green,CSS,2
Ruckus Gaming,Java,2
Ricepo,Python,2
Ricepo,Java,2
Ricepo,HTML,2
Ricepo,Assembly,2
Red Hat,KiCad,2
"Rakuten, Inc.",Shell,2
"Rakuten, Inc.",Emacs Lisp,2
"Rakuten, Inc.",Clojure,2
"Rakuten, Inc.",C,2
SmartSoftAsia,CSS,2
SmartSoftAsia,Jupyter Notebook,2
Umbo CV,Shell,2
Student,Java,2
Transmode,Python,2
Thrive TRM,VimL,2
Thrive TRM,PHP,2
ThoughtWorks,Objective-C,2
ThoughtWorks,JavaScript,2
The Tandem Group,PHP,2
The Code Venture,Ruby,2
Techbooth,PHP,2
Tam Tam,Python,2
THEMWEBS,HTML,2
TBODA Pty Ltd,Puppet,2
Sugoi Software,JavaScript,2
Subito.it,Ruby,2
Strobe Development,JavaScript,2
SmartSoftAsia,R,2
Stripe,Rust,2
Stripe,JavaScript,2
Stripe,CSS,2
Stripe,C++,2
Stripe,Brainfuck,2
Stripe,Awk,2
"StoneDonut, LLC.",VimL,2
Square,VimL,2
Square,Emacs Lisp,2
Solairis Industries,Perl,2
Solairis Industries,PHP,2
Socure,Shell,2
Socure,Java,2
"On2 Technologies, Inc.",PHP,2
Mac Flow,Ruby,2
Ennova Research,Swift,2
Jayway,Java,2
Driw AS,C#,2
Driw AS,Groovy,2
Driw AS,Java,2
Driw AS,Perl,2
Driw AS,Ruby,2
Driw AS,Shell,2
Driw AS,VimL,2
EF Education First,PHP,2
EPAM Systems,Java,2
ElasticBox Inc,CSS,2
ElasticBox Inc,Go,2
ElasticBox Inc,HTML,2
ElasticBox Inc,JavaScript,2
Eloqua,Objective-C,2
Eloqua,PHP,2
Directi,C#,2
DigitalH2O,CSS,2
Defective Studios,Shell,2
Cronofy,C#,2
Certified Symfony developer,JavaScript,2
Certified Symfony developer,Shell,2
"Ciber, Inc.",JavaScript,2
Clowns and Puppets,Shell,2
Continuity Control,CSS,2
Continuity Control,Emacs Lisp,2
Crowdcube,CSS,2
Defective Studios,PHP,2
Crowdcube,Ruby,2
DTS,VimL,2
Data Processors,C,2
Decimus Software,Objective-C,2
Decimus Software,Ruby,2
Defective Studios,C++,2
Eloqua,Scala,2
Ennova Research,Ruby,2
Ericsson,Emacs Lisp,2
Increments Inc.,Shell,2
Heroku,Shell,2
Hibado,C++,2
Hibado,JavaScript,2
Hibado,Python,2
IMMUNIO,C,2
IMMUNIO,Ruby,2
Indian Institute of Technology,Java,2
Happy Nerd Shirts,Java,2
Individual,C++,2
Individual,Java,2
Individual,JavaScript,2
Ionata Digital,C,2
Ionata Digital,CoffeeScript,2
Iridescent,VimL,2
Happy Nerd Shirts,Shell,2
Happy Nerd Shirts,Groovy,2
Escenic,Python,2
GitHub,Emacs Lisp,2
Fictive Kin,CSS,2
