,company,language,Repositories_count
615,Espians,HTML,3
616,G-mode,Python,3
617,Financial Times,Shell,3
618,Financial Times,Ruby,3
619,Financial Times,CoffeeScript,3
620,SonOfTwins,JavaScript,3
621,Genius,Ruby,3
622,Gestour SAS,JavaScript,3
623,Gestour SAS,PHP,3
624,Solairis Industries,JavaScript,3
625,"Expedia, Inc.",Scala,3
626,Solairis Industries,HTML,3
627,Solairis Industries,Clojure,3
628,Espians,Shell,3
629,Espians,Rust,3
630,Espians,Ruby,3
631,Espians,PHP,3
632,Espians,Objective-C,3
633,Espians,Java,3
634,Globo.com,JavaScript,3
635,Cronofy,JavaScript,3
636,Inbank Technologies,Shell,3
637,Umbo CV,Lua,3
638,Cirrus Machina,Java,3
639,UC Davis (MS student),HTML,3
640,Certified Symfony developer,Ruby,3
641,"StoneDonut, LLC.",Python,3
642,UC Davis (MS student),Matlab,3
643,UC Davis (MS student),OCaml,3
644,UC Davis (MS student),Prolog,3
645,UC Davis (MS student),Python,3
646,Coventry University,Python,3
647,Owl Unit,JavaScript,3
648,Carnegie Mellon University,Shell,3
649,Unboxed Consulting,Shell,3
650,Universal Solutions,Swift,3
651,"Pamiris, Inc.",Java,3
652,University of Michigan,C,3
653,University of Michigan,CSS,3
654,University of Michigan,Rust,3
655,University of Michigan,Go,3
656,UC Davis (MS student),Common Lisp,3
657,University of Pittsburgh,CSS,3
658,"Toppa Consulting, LLC",Shell,3
659,Clowns and Puppets,Java,3
660,Independent contractor,Dart,3
661,Silibrina,Python,3
662,University of Stavanger,Scala,3
663,Siemer for Hire,PowerShell,3
664,Coventry University,Objective-C,3
665,Coventry University,CSS,3
666,Shutterstock,Python,3
667,"Imagine Easy Solutions, LLC",JavaScript,3
668,Twitter,CSS,3
669,Schneider Electric DMS NS,C#,3
670,Shipito LLC,Shell,3
671,One Red Dog Media Pty Ltd,Ruby,2
672,Onefeat,Swift,2
673,Onefeat,JavaScript,2
674,REA Group,Groovy,2
675,Onefeat,Objective-C,2
676,Owl Unit,Java,2
677,Owl Unit,Emacs Lisp,2
678,Overture Games,C,2
679,One Red Dog Media Pty Ltd,Shell,2
680,Pivotal Software Inc.,Java,2
681,"Plecco Technologies, Inc.",JavaScript,2
682,P51 Software,Objective-C,2
683,Onefeat,C,2
684,"Opt-6 Products, LLC",C++,2
685,"Opt-6 Products, LLC",Shell,2
686,Pragmateam,ApacheConf,2
687,"Prolanceer, India",Java,2
688,OpenLearning Global Pty Ltd.,Swift,2
689,Paperpile,Java,2
690,OpenLearning Global Pty Ltd.,Python,2
691,OpenLearning Global Pty Ltd.,Objective-C++,2
692,Pragmateam,Shell,2
693,OpenLearning Global Pty Ltd.,Lua,2
694,REA Group,CoffeeScript,2
695,Pragmateam,Python,2
696,OpenLearning Global Pty Ltd.,CSS,2
697,"Opt-6 Products, LLC",JavaScript,2
698,Paperpile,Perl,2
699,Pragmateam,Pascal,2
700,Pragmateam,PHP,2
701,Pragmateam,HTML,2
702,REA Group,CSS,2
703,REA Group,Emacs Lisp,2
704,Pragmateam,VimL,2
705,121ecommerce,JavaScript,2
706,REA Group,Shell,2
707,RG Sistemas,HTML,2
708,YP Holdings,HTML,2
709,YP Holdings,Elixir,2
710,YP Holdings,CoffeeScript,2
711,YP Holdings,Clojure,2
712,Xiamen YouJia Limited Company,Objective-C,2
713,Xiamen YouJia Limited Company,Go,2
714,Wyndow,Ruby,2
715,Webpuppies Singapore,JavaScript,2
716,"Wade, LLC.",CSS,2
717,VisioBox,Python,2
718,Vide Infra Group,C++,2
719,Valu Digital Oy,Ruby,2
720,Valu Digital Oy,Lua,2
721,Valu Digital Oy,CoffeeScript,2
722,VMware,Ruby,2
723,"Ustream, Inc.",Shell,2
724,"Ustream, Inc.",Scala,2
725,"Ustream, Inc.",HTML,2
726,"Ustream, Inc.",CoffeeScript,2
727,"Ustream, Inc.",Clojure,2
728,"Ustream, Inc.",C++,2
729,"Ustream, Inc.",Assembly,2
730,"Ustream, Inc.",API Blueprint,2
731,University of Stavanger,HTML,2
732,University of Pisa,CMake,2
733,University of Michigan,Python,2
734,University of Michigan,JavaScript,2
735,University of Michigan,Haskell,2
736,University of Michigan,HTML,2
737,YP Holdings,Haskell,2
738,YP Holdings,OCaml,2
739,YP Holdings,Python,2
740,http://gle.solar,Eagle,2
741,,TypeScript,2
742,,Shell,2
743,,Python,2
744,,Makefile,2
745,,HTML,2
746,oneforty,Ruby,2
747,meliuz,Shell,2
748,meliuz,C,2
749,https://angel.co/trucktrack,Ruby,2
750,https://angel.co/trucktrack,Python,2
751,https://angel.co/trucktrack,CoffeeScript,2
752,http://gle.solar,Shell,2
753,http://gle.solar,JavaScript,2
754,http://gle.solar,C,2
755,YP Holdings,Shell,2
756,http://gle.solar,Arduino,2
757,gutocarvalho.net,JavaScript,2
758,glomper.com,C++,2
759,glfernando,Java,2
760,freelance full-stack dev,Common Lisp,2
761,"edutechnologic, llc",Java,2
762,cron IT,JavaScript,2
763,blaste,Java,2
764,blaste,C++,2
765,backslash AG,ColdFusion,2
766,ancestry.com,Go,2
767,ZoomRx,JavaScript,2
768,Zenefits,JavaScript,2
769,University of Michigan,C++,2
770,"University of California, Irvine",VimL,2
771,"University of California, Irvine",CSS,2
772,Sheepdog Sciences,Java,2
773,Skyscanner,Shell,2
774,Skyscanner,CoffeeScript,2
775,Skulski Research Group,VimL,2
776,Skulski Research Group,Perl,2
777,Skulski Research Group,Makefile,2
778,Skulski Research Group,Clojure,2
779,Skerou,C,2
780,Skerou,Arduino,2
781,Simmer,HTML,2
782,Simmer,CSS,2
783,Shutterstock,JavaScript,2
784,Shipito LLC,CoffeeScript,2
785,Sheepdog Sciences,Python,2
786,Secret,HTML,2
787,SmartSoftAsia,JavaScript,2
788,"SRAN Technology Co., Ltd",JavaScript,2
789,"SRAN Technology Co., Ltd",HTML,2
790,S. Quinton Green,CSS,2
791,Ruckus Gaming,Java,2
792,Ricepo,Python,2
793,Ricepo,Java,2
794,Ricepo,HTML,2
795,Ricepo,Assembly,2
796,Red Hat,KiCad,2
797,"Rakuten, Inc.",Shell,2
798,"Rakuten, Inc.",Emacs Lisp,2
799,"Rakuten, Inc.",Clojure,2
800,"Rakuten, Inc.",C,2
801,SmartSoftAsia,CSS,2
802,SmartSoftAsia,Jupyter Notebook,2
803,Umbo CV,Shell,2
804,Student,Java,2
805,Transmode,Python,2
806,Thrive TRM,VimL,2
807,Thrive TRM,PHP,2
808,ThoughtWorks,Objective-C,2
809,ThoughtWorks,JavaScript,2
810,The Tandem Group,PHP,2
811,The Code Venture,Ruby,2
